NU_INSCRICAO,Q002,TP_ANO_CONCLUIU,Q006,NU_NOTA_LC,TP_LINGUA,Q024,Q001,ATEND_ESPE1,CO_UF_RESIDENCIA,NU_NOTA_CH,NU_NOTA_CN,ATEND_ESPE2,NU_NOTA_MT,IN_TREINEIRO,NU_IDADE,TP_COR_RACA_A,TP_COR_RACA_B,TP_COR_RACA_C,TP_COR_RACA_D,TP_COR_RACA_E,TP_NACIONALIDADE_A,TP_NACIONALIDADE_B,TP_NACIONALIDADE_C,TP_NACIONALIDADE_D,TP_ESCOLA_B,TP_ESCOLA_C,TP_ESCOLA_D,TP_ST_CONCLUSAO_A,TP_ST_CONCLUSAO_B,TP_ST_CONCLUSAO_C,TP_ST_CONCLUSAO_D,Q026_A,Q026_B,Q026_C,Q027_A,Q027_B,Q027_C,Q027_D,Q027_E,Q027_F,Q027_G,Q027_H,Q027_I,Q027_J,Q027_K,Q027_L,Q027_M,Q027_N,Q047_A,Q047_B,Q047_C,Q047_D,Q047_E,TP_SEXO_F,TP_SEXO_M,Q025_A,Q025_B
ed50e8aaa58e7a806c337585efee9ca41f1eb1ad,4,4,2,581.2,1,0,4,0,43,495.4,436.3,0,399.4,0,24,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2c3acac4b33ec2b195d77e7c04a2d75727fad723,1,0,1,599.0,1,0,1,0,23,544.1,474.5,0,459.8,0,17,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
f4545f8ccb9ff5c8aad7d32951b3f251a26e6568,4,0,2,0.0,1,0,4,0,23,0.0,0.0,0,0.0,0,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe,5,9,4,0.0,0,2,0,0,33,0.0,0.0,0,0.0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268,4,4,2,0.0,1,0,5,0,13,0.0,0.0,0,0.0,0,28,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1,5,1,2,410.9,0,1,5,0,29,583.2,439.7,0,364.5,0,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
63b4e128e9ffe8ab27f5d093db1976ef4f353e0a,4,0,2,484.5,0,1,5,0,51,604.2,420.1,0,529.2,0,18,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2eb189d4912f64b19d1967e8e84b6141aba18770,6,1,11,611.2,0,1,7,0,43,625.8,619.6,0,566.7,0,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
5822cb43e0800429be2084b3f86a63aaa73fa66c,5,0,1,521.8,1,0,0,0,26,555.2,500.5,0,372.4,0,16,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
94f7e277f87cd58e10a45da4ad5dd168651cf3ef,5,0,6,0.0,0,1,0,0,31,0.0,0.0,0,0.0,0,24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
